13.6	-1.97101	2.24924	0.07109	8.1941	0.74749	1.62043	-1.967	2.249	0.071	-0.111	-0.017	0.994	3.181	10.9	10.9	

13.8	-1.97123	2.24835	0.07191	8.52501	0.79613	1.6691	-1.968	2.248	0.071	-0.097	-0.014	0.995	3.076	10.9	10.9	

14	-1.97177	2.2485	0.07197	8.4575	0.71179	1.66319	-1.966	2.248	0.071	-0.097	-0.014	0.995	3.058	10.9	10.9	

14.2	-1.97239	2.248	0.07271	8.63894	0.71759	1.79159	-1.97	2.248	0.072	-0.096	-0.016	0.995	2.978	10.9	10.9	

14.4	-1.97289	2.24777	0.07321	8.77715	0.68829	1.86408	-1.972	2.247	0.073	-0.094	-0.019	0.995	2.995	10.9	10.9	

14.6	-1.97311	2.24763	0.07335	8.83853	0.62469	1.93767	-1.971	2.247	0.073	-0.091	-0.02	0.996	3.001	10.9	10.9	

14.8	-1.97289	2.24785	0.07305	8.74015	0.66837	1.92461	-1.972	2.247	0.073	-0.096	-0.017	0.995	3.075	10.9	10.9	

15	-1.97256	2.24805	0.07298	8.69094	0.77919	1.95752	-1.97	2.248	0.072	-0.096	-0.023	0.995	3.127	10.9	10.9	

15.2	-1.97286	2.24812	0.07261	8.61477	0.7293	2.0324	-1.97	2.248	0.072	-0.097	-0.03	0.995	3.209	10.9	10.9	

15.4	-1.97316	2.24823	0.07203	8.5459	0.70627	2.01446	-1.975	2.248	0.072	-0.098	-0.028	0.995	3.25	10.9	10.9	

15.6	-1.97318	2.24833	0.07194	8.50325	0.73739	2.02242	-1.973	2.248	0.072	-0.101	-0.027	0.995	3.292	10.9	10.9	

15.8	-1.97346	2.24851	0.07228	8.53153	0.76813	2.07202	-1.971	2.248	0.072	-0.098	-0.027	0.995	3.238	10.9	10.9	

16	-1.97381	2.24854	0.07238	8.53761	0.72043	2.12864	-1.974	2.248	0.072	-0.098	-0.026	0.995	3.293	10.9	10.9	

16.2	-1.97383	2.24861	0.07227	8.49124	0.67831	2.11896	-1.971	2.248	0.072	-0.102	-0.031	0.994	3.358	10.9	10.9	

16.4	-1.97348	2.24894	0.07228	8.42947	0.67148	2.05235	-1.972	2.249	0.072	-0.103	-0.033	0.994	3.32	10.9	10.9	

16.6	-1.97335	2.24864	0.07252	8.54069	0.70623	2.07276	-1.973	2.248	0.072	-0.106	-0.034	0.994	3.166	10.9	10.9	

16.8	-1.97357	2.24884	0.07204	8.41788	0.69964	2.09634	-1.971	2.248	0.072	-0.107	-0.034	0.994	3.173	10.9	10.9	

17	-1.97396	2.24889	0.07181	8.39049	0.73927	2.14526	-1.971	2.249	0.072	-0.106	-0.032	0.994	3.166	10.9	10.9	

17.2	-1.97418	2.24902	0.07209	8.41118	0.72796	2.17761	-1.971	2.249	0.071	-0.106	-0.024	0.994	3.033	10.9	10.9	

17.4	-1.97421	2.24898	0.07197	8.41378	0.70222	2.18197	-1.972	2.248	0.072	-0.104	-0.023	0.994	3.019	10.9	10.9	

17.6	-1.97409	2.24912	0.07171	8.31479	0.69699	2.16214	-1.973	2.249	0.072	-0.105	-0.028	0.994	3.135	10.9	10.9	

17.8	-1.9742	2.24945	0.07166	8.20176	0.73106	2.18153	-1.971	2.249	0.071	-0.108	-0.03	0.994	3.192	10.9	10.9	

18	-1.97463	2.24952	0.07176	8.1691	0.70884	2.24096	-1.971	2.249	0.071	-0.109	-0.029	0.994	3.158	10.9	10.9	

18.2	-1.97487	2.24976	0.07114	8.0354	0.68922	2.23159	-1.973	2.249	0.071	-0.109	-0.03	0.994	3.139	10.9	10.9	

18.4	-1.97505	2.25007	0.07073	7.92714	0.67764	2.2493	-1.972	2.25	0.071	-0.107	-0.028	0.994	3.183	10.9	10.9	

18.6	-1.975	2.2503	0.07044	7.86493	0.69342	2.22901	-1.974	2.25	0.07	-0.106	-0.028	0.994	3.132	10.9	10.9	

18.8	-1.9747	2.2506	0.07052	7.73912	0.66687	2.16904	-1.969	2.25	0.07	-0.108	-0.033	0.994	3.16	10.9	10.9	

19	-1.97444	2.25047	0.0704	7.72631	0.66098	2.13827	-1.971	2.25	0.07	-0.109	-0.032	0.994	3.239	10.9	10.9	

19.2	-1.97438	2.2508	0.07028	7.61704	0.68696	2.14398	-1.972	2.25	0.07	-0.105	-0.027	0.994	3.238	10.9	10.9	

